GENIE3_links,GRNBOOST2_links,PIDC_links,phase_synchrony_links
FGFBP2_NKG7,GZMH_IL7R,RPL5_RPS14,FCER2_TSPAN13
CST7_LY86,FCER2_LINC00926,RPL11_RPL18A,CD79A_PKIG
CD2_HLA-DOB,GZMH_GZMK,MS4A6A_S100A9,CD68_LY86
IL32_PPAPDC1B,MS4A1_PKIG,RPL31_RPL36,CDA_CFD
GZMH_IL7R,GZMH_LTB,CYB561A3_MARCH1,LY86_SPI1
AC092580.4_SPIB,HVCN1_KIAA0125,B2M_CST7,LGALS2_LY86
CD72_HLA-DOB,IL7R_LTB,CCR7_SPIB,CD79A_FCER2
CYB561A3_MS4A6A,CD8A_CD8B,RPL3_RPS14,CD79A_TSPAN13
BANK1_FCRLA,CYB561A3_MS4A6A,EAF2_SH2D1A,CD79A_VPREB3
CD79A_FCER2,FCER2_HLA-DOB,RPL31_RPS20,BRI3_CDA
HLA-DMB_SPI1,CD8A_FCER2,AC092580.4_CYB561A3,CDA_SPI1
TCL1A_VPREB3,CD8B_COTL1,RPL23A_RPS3,CD14_CFD
NCF2_SPI1,HLA-DQA1_MS4A6A,MARCH1_SPIB,BRI3_LY86
CCL5_NKG7,NKG7_PRF1,RPL9_RPS23,FCRLA_TSPAN13
P2RX5_PKIG,HLA-DMB_SPI1,RPL10_RPL27A,CD68_CDA
GNG7_PKIG,NCF2_SPI1,RPL11_RPL32,CDA_CFP
HVCN1_KIAA0125,IRF8_LINC00926,AC092580.4_CCR7,CD79A_FCRLA
CD79A_VPREB3,FGFBP2_NKG7,CCR7_MARCH1,LY86_MS4A6A
MARCH1_S100A8,HLA-DRA_LINC00926,AC092580.4_SPIB,FCRLA_PNOC
EEF1A1_LY86,RPL13_RPS25,CD79A_TCL1A,LGALS2_MS4A6A
CD8A_FCER2,HVCN1_PKIG,RPL10A_RPL23A,CD72_FCRLA
HLA-DQA2_PKIG,HLA-DPA1_HLA-DRB5,IL32_RPL10A,CD79A_HLA-DOB
CST7_LTB,HLA-DPB1_HLA-DRB1,RPL14_RPL9,FCER2_PNOC
CD72_LINC00926,AC092580.4_LINC00926,RPS10_RPS13,GNG7_PKIG
CFP_PKIG,CD40_MS4A6A,CD72_TCL1A,HLA-DRB1_HLA-DRB5
HLA-B_MARCH1,CD247_RPS25,RPL13A_RPS18,BLVRB_MS4A6A
CDA_LY86,HLA-DQA2_PKIG,RPL9_RPS27A,CFP_LY86
NKG7_PRF1,FCRLA_LINC00926,AC092580.4_MARCH1,GNG7_LINC00926
HLA-DRA_TSPAN13,RPL35A_RPL9,RPL5_RPS13,CFP_SPI1
CDA_CFD,CD14_CST3,RPL23A_RPL9,HLA-DOB_TSPAN13
LINC00926_TCL1A,RPL30_RPS15A,RPS13_RPS14,CD14_LGALS2
RPL13_RPS25,PFN1_RPS15A,EEF1A1_RPL11,CFD_LGALS2
CD79B_KIAA0125,CD3D_CDA,CYB561A3_S100A8,KIAA0125_TSPAN13
KIAA0125_PNOC,GZMH_LGALS1,B2M_RPS4X,CD72_VPREB3
BRI3_CDA,HLA-DPA1_HLA-DPB1,CD8A_LAG3,CD68_SPI1
CEBPD_NCR3,CDA_CFP,CD247_IRF8,TSPAN13_VPREB3
RPL13_VPREB3,CDA_SPI1,CD14_MS4A6A,CD68_CFP
CD3D_CDA,CST7_HLA-C,RPS27A_RPS6,BRI3_CFD
IL7R_LTB,CCL5_CTSW,RPL21_RPL32,PKIG_TSPAN13
FCER2_VPREB3,BLK_FCRLA,RPS15A_RPS25,KIAA0125_TCL1A
FCER2_GNG7,CEBPD_NCR3,IRF8_MS4A6A,BANK1_FCRLA
CFP_SPI1,HLA-DRB5_IL7R,S100A8_SPIB,LY86_NCF2
CYB561A3_S100A8,RPL13_RPS4X,CD72_CD79A,FCN1_LY86
TSPAN13_VPREB3,LCK_LY86,RPL21_RPS3A,BANK1_PNOC
CD14_CST3,CD79A_FCER2,RPL31_RPS23,CDA_MS4A6A
HLA-DRB1_TIGIT,HLA-DPB1_HLA-DQA1,CCL5_HLA-C,CD72_TSPAN13
CDA_SPI1,LY86_SPI1,RPLP2_RPS28,BANK1_KIAA0125
GNG7_PNOC,CD74_COTL1,RPL32_RPS27A,BANK1_LINC00926
ISG20_SPIB,RPL10_RPL10A,KIAA0125_PNOC,GZMH_NKG7
CCL5_CD8A,HLA-DRA_HLA-DRB1,BLK_GNG7,CFD_MS4A6A
CD14_PNOC,FCGRT_SPI1,PTPRCAP_RPS15A,CD72_HLA-DOB
RPL13_RPS4X,KIAA0125_PKIG,CD14_CD40,CFD_CFP
HLA-DPB1_HLA-DRB1,FCGRT_PKIG,MARCH1_S100A8,NCF2_SPI1
CD14_LY86,CST7_LTB,CST7_HLA-C,CDA_NCF2
MARCH1_SPIB,FGFBP2_IL7R,PPAPDC1B_SH2D2A,CD72_PKIG
CD2_FCER2,CD40_SPI1,EAF2_MS4A6A,LINC00926_PNOC
PPAPDC1B_TSPAN13,HLA-C_NKG7,HLA-DRB1_HLA-DRB5,CFD_SPI1
EEF1A1_RPS29,CCL5_HLA-DPB1,RPL30_RPS14,TCL1A_TSPAN13
CD68_RPSA,CD68_RPSA,LINC00926_MS4A1,CDA_FCN1
CCL5_CTSW,RPL10A_RPL5,CD79B_MATK,BRI3_NCF2
CYB561A3_SPIB,FGFBP2_PRF1,CD8B_NCR3,CD68_CFD
CD8B_COTL1,CD37_RPL11,RPL30_RPS25,CD14_EAF2
HLA-DRA_LINC00926,HLA-DPA1_HLA-DQA2,RPL23A_RPS18,EAF2_LY86
GZMH_LGALS1,RPL21_RPL3,RPL21_RPS23,CFD_NCF2
PDLIM1_TCL1A,CDA_PKIG,IRF8_ISG20,CFD_FCN1
HLA-DRA_TCL1A,RPL13_VPREB3,CEBPD_LGALS2,CDA_LGALS2
RPL23A_RPL32,CD2_NCF2,HLA-DOB_HLA-DQA2,CFD_EAF2
BRI3_CD68,TCL1A_VPREB3,CD247_SH2D1A,CD14_CD68
FCER2_TCL1A,RAC1_RPL11,PNOC_SH2D2A,BRI3_CD14
CST7_HLA-C,GZMH_RPL10A,CCL4_TSPAN13,BRI3_CD68
HLA-DOB_TCL1A,CCL4_FGFBP2,MS4A6A_SH2D1A,CD72_CD79A
IRF8_S100A8,HLA-DPB1_HLA-DQA2,CD14_S100A9,CST7_NKG7
RPS6_VPREB3,CCL5_HLA-DRB1,IRF8_S100A9,BANK1_HLA-DOB
S100A8_SPIB,MARCH1_S100A8,CD40_MS4A6A,FGFBP2_GZMH
HLA-DPA1_HLA-DPB1,HLA-DOB_KIAA0125,FGFBP2_GZMH,PKIG_PNOC
HLA-DPA1_HLA-DQA2,CDA_FCRLA,PNOC_PPAPDC1B,CD72_KIAA0125
RPL9_TCL1A,CCL5_CD8A,GZMK_IL7R,BLVRB_LY86
HLA-DPB1_HLA-DQA1,CCL5_CD8B,AC092580.4_S100A8,PNOC_SPIB
HLA-DPA1_HLA-DRB5,HLA-B_HLA-C,BANK1_BLK,BANK1_VPREB3
CFD_LGALS2,CYB561A3_KIAA0125,RPL32_RPL9,PNOC_TSPAN13
CD2_NCF2,HLA-DMB_LY86,APMAP_PNOC,CD14_CFP
CD72_KIAA0125,CD79A_KIAA0125,RPL18A_RPL23A,CST3_LY86
HVCN1_PKIG,GZMH_PRF1,CD14_CEBPD,CDA_SERPINA1
RPL10_RPL3,HLA-DPA1_IL7R,RPL10_RPL35A,CD79A_KIAA0125
RPL30_RPS15A,CDA_CFD,LGALS2_MS4A6A,FCN1_LGALS2
LY86_SPI1,CCL4_SPI1,C12orf75_MS4A1,BANK1_PKIG
PDLIM1_PKIG,HVCN1_NCF2,RPL32_RPLP2,FCN1_MS4A6A
RPL23A_RPS20,RPL10_RPL3,CD14_LGALS2,BANK1_TCL1A
DUSP2_PNOC,RPL10_RPS15A,MALAT1_RPL21,CD72_TCL1A
CD74_COTL1,CYBA_RPL27A,HVCN1_P2RX5,GNG7_TCL1A
HLA-DRB1_LY86,HLA-DPB1_HLA-DRB5,DUSP2_GZMM,AIF1_CDA
FTH1_SMIM14,RPL23A_RPL32,C12orf75_LINC00926,CD14_SPI1
CD2_VPREB3,CD74_HLA-DPB1,RPS3_TPT1,EAF2_LGALS2
BLK_GNG7,CCL4_CST7,CCL4_HVCN1,CD68_NCF2
COTL1_S100A4,B2M_GZMH,B2M_RPL35A,CFP_NCF2
BANK1_GNG7,RPL11_RPL32,HLA-DQA2_VPREB3,BRI3_GRN
CD74_TCL1A,RPL13A_RPS15A,IL7R_LTB,BLVRB_CD14
CDA_FCER1G,LGALS2_LY86,CD247_EAF2,CDA_CST3
GZMA_HVCN1,GZMK_LTB,EAF2_S100A9,FCER1G_LY86
HLA-DQA1_MS4A6A,EEF1A1_RPS5,RPL3_RPS27,CD14_SPIB
HLA-B_HLA-C,B2M_RPL13,MS4A1_TCL1A,PPAPDC1B_TCL1A
FCGRT_SPI1,CFD_CST3,RPL10_RPL3,FCGRT_LY86
FCGRT_HVCN1,RPS20_SPI1,CEBPD_HLA-DMB,KIAA0125_VPREB3
IL7R_PFN1,GZMH_RPL32,CD79A_LINC00926,KIAA0125_SPIB
HLA-DPB1_HLA-DRB5,CD74_HLA-DRB1,LINC00926_TCL1A,KIAA0125_MARCH1
GZMH_PRF1,RPL10_RPS12,PTPRCAP_RPS23,AIF1_LY86
FCER2_TSPAN13,RPL13A_RPL30,RPS14_RPS3,P2RX5_PKIG
RPL10A_RPS3A,RPL23A_RPL9,CD79A_MS4A1,BRI3_FCN1
CCL4_FGFBP2,LTB_NOSIP,CD8A_CD8B,CFP_FCER1G
FGFBP2_PRF1,CFP_SPI1,ARPC5L_LAG3,CFP_FCN1
RPL13A_RPL9,FTL_RPL9,HVCN1_TSPAN13,BRI3_CFP
RPL23A_RPS27A,LTB_RPL18A,PFN1_RPL10,BLVRB_CFD
CD247_RPS25,CD74_HLA-DRA,CD14_SH2D1A,HLA-DOB_KIAA0125
B2M_GNG7,RPL27A_RPL30,FCRLA_P2RX5,BANK1_GNG7
RPL35A_SMIM14,RPL23A_RPS12,KIAA0125_SH2D2A,EAF2_MS4A6A
KLRG1_MS4A1,HLA-DRB1_TIGIT,PKIG_TCL1A,BRI3_SERPINA1
CD68_SPI1,RPS6_VPREB3,CCL4_FCER2,GNG7_TSPAN13
RPL23A_RPL9,RPL11_RPL18A,CD79A_PKIG,MS4A6A_SPI1
CD3D_IL32,CFP_FCRLA,BANK1_GNG7,CD14_CST3
RPL21_RPL3,BANK1_LINC00926,RPL23A_RPS12,BRI3_MS4A6A
RPL3_RPS3,RPL18A_RPLP0,RPL14_RPS14,CD72_GNG7
HLA-C_NKG7,GZMA_NKG7,KIAA0125_PPAPDC1B,CDA_EAF2
DUSP2_IRF8,GZMK_NKG7,RPL13A_RPL9,CD14_FCN1
FCRLA_LINC00926,GZMA_RPL32,HLA-DOB_VPREB3,CD68_MS4A6A
GZMK_LAG3,HLA-B_NKG7,CCR7_CD40,PPAPDC1B_TSPAN13
HLA-E_MALAT1,CCL4_NKG7,CCR7_SH2D1A,CD68_FCER1G
RPL13A_RPS15A,LY86_MS4A6A,RPL13_RPL13A,BRI3_SPI1
CYBA_RPL27A,CD2_FCER2,CD72_LINC00926,NCF2_SERPINA1
RPS23_SPIB,HLA-DMB_PKIG,CD72_MS4A1,LY86_SPIB
BANK1_LINC00926,HCST_PRF1,FCN1_TYROBP,BANK1_CD72
FCRLA_TCL1A,CFP_LY86,FCER2_TSPAN13,BLVRB_CDA
HLA-DRA_HLA-DRB1,CD247_RPS15A,RPL21_RPS3,LTB_RPL18A
BANK1_PNOC,HLA-DRB5_LTB,CD8B_SH2D2A,CFD_CST3
FCRLA_GNG7,CST7_GZMH,FCRL6_SNX2,GNG7_P2RX5
BLVRB_LGALS2,BANK1_PKIG,RPLP0_RPS12,BANK1_TSPAN13
HLA-DRB5_IL7R,GZMH_RPS5,RPL23A_RPS28,FGFBP2_NKG7
MS4A1_PKIG,CDA_CST3,CD72_PKIG,CFP_MS4A6A
CD79A_TSPAN13,HLA-DQA1_SPI1,CEBPD_MS4A6A,CD40_MS4A6A
PPAPDC1B_VPREB3,RPL13A_RPS12,RPL3_RPS6,MS4A1_PKIG
BANK1_FCER2,CYBA_RPS25,DUSP2_VPREB3,CDA_FCGRT
CD14_MS4A6A,COTL1_HLA-DQA1,RPS10_RPS3,LY86_SERPINA1
AC092580.4_LINC00926,CD74_LINC00926,MS4A1_P2RX5,CD14_NCF2
NOSIP_TSPAN13,RPS18_RPS4X,RPL36_TPT1,FCER2_PPAPDC1B
CCL5_CD8B,PDLIM1_TCL1A,C12orf75_TCL1A,CDA_SPIB
LGALS2_MS4A6A,DUSP2_GZMK,DUSP2_HLA-DQA2,HLA-DQA1_HLA-DQA2
IL32_SNX2,RPL13A_RPS18,RPS27A_RPS4X,MARCH1_SPIB
RPS14_RPS3,COTL1_GZMK,C12orf75_CD79A,CD68_CST3
C12orf75_IRF8,RPL10A_RPL9,RPL13_RPS23,CDA_FCER1G
RPL35A_TCL1A,IL7R_RPL32,CD40_S100A9,PNOC_TCL1A
FCER2_PNOC,FTL_RPL36,P2RX5_TSPAN13,BLVRB_LGALS2
CDA_CST3,CD79B_HLA-DQB1,CD8B_CYB561A3,CST7_GZMH
RPL35A_RPL9,RPL23A_RPS20,APMAP_PPAPDC1B,CFP_EAF2
B2M_TPT1,LYZ_TYROBP,DUSP2_SAMD3,GRN_LY86
B2M_RPL13,CST7_HLA-DPB1,RPL9_RPS12,AIF1_CFD
CD72_GNG7,HVCN1_LINC00926,FCN1_LY86,FCRLA_P2RX5
CDA_CFP,HLA-DOB_VPREB3,EAF2_LGALS2,FCRLA_MS4A1
CD72_TCL1A,CTSW_RPS25,CEBPD_S100A9,GRN_MS4A6A
BANK1_BLVRB,RPL18A_RPS18,RPS12_RPS27A,MS4A6A_S100A9
CD2_LINC00926,CFP_FCER1G,FCRLA_MS4A1,EEF1A1_RPSA
RPL18A_TIGIT,CD2_HLA-DOB,GZMM_SAMD3,HLA-DPB1_HLA-DRB5
IL7R_MALAT1,AIF1_CDA,FCRLA_HVCN1,CFD_FCER1G
CD14_LGALS2,RPL23A_RPSA,RPL10_RPS23,LINC00926_PPAPDC1B
BLK_FCRLA,EEF1A1_RPL11,CCL5_RPS3,CDA_GRN
HLA-DRA_VPREB3,CTSW_NKG7,HVCN1_MS4A1,MS4A6A_SPIB
S100A4_S100A6,RPL35A_TCL1A,CFP_TKT,CD14_GRN
CST7_GZMH,EAF2_LY86,AC092580.4_CD2,LGALS2_SPI1
EAF2_S100A9,TSPAN13_VPREB3,C12orf75_CD72,PKIG_PPAPDC1B
GZMH_RPL32,CD74_HLA-DPA1,RPL13_RPLP2,CST7_HLA-C
PFN1_RPS15A,LINC00926_VPREB3,RPL27A_RPS4X,FCRLA_PPAPDC1B
NCF2_PKIG,PNOC_S100A8,HOPX_MATK,AIF1_CFP
RPLP2_TCL1A,CCL4_RPS12,NKG7_PRF1,CFD_FCGRT
LTB_NOSIP,RPS14_RPS6,CD79B_PPAPDC1B,BANK1_CD79A
CD74_PDLIM1,HLA-DPB1_NOSIP,HLA-DMB_LGALS2,BRI3_CST3
PKIG_TCL1A,B2M_HLA-A,CEBPD_EAF2,CFP_LGALS2
HLA-DMA_P2RX5,RPL11_RPS25,RPL10_RPL13A,KIAA0125_PPAPDC1B
CDA_FCGRT,NKG7_RPS18,CCL4_P2RX5,GNG7_HLA-DOB
CFD_CST3,RPL32_RPS25,LY86_TYROBP,CD14_FCGRT
FTL_VPREB3,LTB_RPL9,RPS12_RPS14,GNG7_VPREB3
RPL11_RPL18A,CFD_LGALS2,FCER2_HVCN1,HLA-DOB_PPAPDC1B
CFD_LY86,S100A11_S100A8,CD14_HLA-DMB,MS4A6A_S100A8
HLA-DQB1_TYMP,GZMK_IL7R,CYB561A3_LAG3,CDA_TYMP
BRI3_CFP,EEF1A1_RPL3,S100A8_SH2D1A,CFP_CST3
LTB_RPL18A,CD72_HLA-DOB,SMIM14_SPI1,MARCH1_PNOC
RPL10_RPL10A,GZMH_HLA-DRB5,APMAP_SH2D2A,CST3_MS4A6A
HLA-DMB_LY86,RPS27_SPI1,DUSP2_HLA-DOB,EAF2_S100A8
APOBEC3G_CD3D,COTL1_S100A4,RPL31_TPT1,CD14_S100A8
LINC00926_TSPAN13,RPL32_RPS12,AC092580.4_CD8B,CD68_FCN1
CD74_HLA-DRA,CD68_LY86,CD8B_MARCH1,LY86_TYMP
EAF2_LY86,GZMH_RPL10,B2M_HLA-B,AIF1_CD68
CTSS_P2RX5,RPL18A_RPLP2,HLA-DQA2_SAMD3,HVCN1_LINC00926
CCL4_SPI1,RPL10_RPL13,MS4A1_PKIG,MS4A6A_NCF2
GZMH_RPS3A,GSTP1_HLA-DPA1,HLA-DMB_LY86,MS4A6A_TYROBP
HLA-DQA2_HVCN1,CDA_FCER1G,LINC00926_PKIG,CD68_S100A9
CD72_FCER2,CD2_VPREB3,LINC00926_P2RX5,LY86_S100A9
NCF2_SNX2,FCER1G_TYROBP,HLA-DMB_MS4A6A,CST3_EAF2
GZMK_LTB,RPS18_RPS6,BLK_TSPAN13,BRI3_LGALS2
CXCR4_SAMD3,HLA-DQA1_HLA-DRB1,RPL13A_RPL21,HLA-DOB_PNOC
LTB_RPS10,HLA-C_LTB,RPL3_RPS23,FCN1_SPI1
HLA-DOB_TSPAN13,CD74_PRF1,RPL18A_RPS13,BANK1_PPAPDC1B
HLA-C_NCF2,RPL18A_TIGIT,RPL3_RPS4X,MARCH1_S100A8
EAF2_MS4A6A,NCR3_NOSIP,FCN1_HLA-DMB,CD68_LGALS2
HLA-DPB1_PDLIM1,IRF8_S100A8,RPL32_RPS14,PPAPDC1B_VPREB3
CFD_GRN,CD74_LY86,IRF8_LGALS2,CST3_SPI1
MS4A6A_S100A9,RPL10_RPS14,FCRLA_LINC00926,BRI3_S100A9
AIF1_LST1,LGALS2_SERPINA1,BLK_CCL4,CD14_FCER1G
RAC1_RPL11,ISG20_RPL31,CCL5_CTSW,AIF1_LGALS2
NCF2_SERPINA1,PTPRCAP_RPS5,CD8B_SPIB,BRI3_FCGRT
CD72_VPREB3,CD74_HLA-DRB5,RPSA_TPT1,AIF1_BRI3
GZMM_MS4A1,CD40_RPL5,HLA-DOB_SAMD3,CDA_S100A9
CD79A_TCL1A,RPL30_RPS23,BANK1_CCL4,LINC00926_P2RX5
OAZ1_PDLIM1,RPL3_RPL5,LGALS2_TYROBP,MS4A1_TCL1A
COTL1_HLA-DQA1,EAF2_MS4A6A,FCER2_P2RX5,CFD_SERPINA1
EAF2_LGALS2,RPL10_RPS4X,CD2_CYB561A3,IL7R_LTB
BRI3_CFD,RPS18_RPS25,RPL11_RPLP0,LTB_RPS12
GZMK_NKG7,HLA-C_NCF2,CD2_SPIB,CD72_PNOC
CST7_GZMM,RPL32_RPS4X,HVCN1_LINC00926,GZMH_HLA-DRB5
BANK1_PKIG,RPL13_RPS6,RPL11_RPL9,BRI3_FCER1G
HOPX_SMIM14,BANK1_BLVRB,FCRLA_TSPAN13,CFD_SPIB
PKIG_VPREB3,CFD_PKIG,CD79B_HOPX,CD68_EAF2
CD37_RPL11,NKG7_RPL13,HLA-DPA1_HLA-DRB5,FCER2_MS4A1
RPS25_RPS27,RPS14_RPS3,RPL18A_RPL9,FCER1G_SPI1
CFD_MARCH1,CYB561A3_S100A8,CD8B_S100A8,PNOC_PPAPDC1B
CD40_SPIB,CD8B_KIAA0125,MATK_PPAPDC1B,GNG7_MARCH1
HLA-B_TPT1,CXCR4_RPL30,CD8B_PPAPDC1B,SPI1_TYMP
HLA-C_RPL36,CTSW_LINC00926,C12orf75_PKIG,LINC00926_MS4A1
CD2_TSPAN13,GNG7_LINC00926,RPL10A_RPS18,CD14_S100A9
RPL18A_RPLP2,CD74_HLA-DQB1,HLA-DRA_TYROBP,CD68_FCGRT
GZMM_RPL31,PPAPDC1B_VPREB3,BLK_HVCN1,FCER1G_LGALS2
RPL13A_RPL30,CFD_GRN,HLA-E_RPL23A,EAF2_S100A9
RPL13_RPS6,HLA-DOB_TCL1A,LTB_NKG7,CD79A_GNG7
RPL11_RPL32,RPL11_RPL23A,LAG3_MARCH1,PNOC_VPREB3
RPL10A_RPL5,FCER1G_FCN1,MS4A1_TSPAN13,BRI3_EAF2
HLA-A_HLA-C,RPS23_TPT1,FTL_RPSA,CFP_SERPINA1
CD74_HLA-DPA1,EEF1A1_RPL10,CD40_S100A8,MARCH1_MS4A6A
RPL11_RPS25,CFD_NCF2,CD8B_LAG3,CFP_TYMP
RPL13_RPL27A,RPS12_RPS20,GZMM_HLA-DQA2,HLA-DOB_MS4A1
RPL18A_TPT1,RPL30_RPS27,CD40_ISG20,BLVRB_CFP
RPL27A_RPL30,RPL13A_RPS27,RPL14_RPS3,FCGRT_NCF2
GZMH_SH2D2A,APOBEC3G_TCL1A,RPL13_RPL5,HVCN1_TCL1A
CFP_FCER1G,CFD_RPS15A,CD8B_IL7R,HLA-DMB_HLA-DQB1
RPL10_RPS12,RPL23A_RPS27A,HLA-DMB_TYROBP,FCGRT_MS4A6A
PRF1_RPL31,CST7_GZMA,BANK1_TSPAN13,CD79A_PPAPDC1B
CD74_HLA-DQB1,RPL13_RPL27A,CD79B_PNOC,LGALS2_NCF2
CD8B_CYB561A3,BANK1_FCER2,LAG3_SPIB,CFD_GRN
CDA_NCF2,HLA-A_HLA-C,RPS12_RPS27,FCN1_NCF2
RPL10_RPL18A,CD74_GZMK,RPLP0_RPS25,BLVRB_SPI1
BLVRB_RPS3A,PRF1_RPS27,CCR7_IRF8,RPS6_RPSA
LY86_MS4A6A,HOPX_LINC00926,GZMM_HLA-DOB,CD40_CFD
CCR7_SPIB,GRN_MS4A6A,HLA-E_RPS25,CFD_MARCH1
FTL_RPL36,HLA-DPB1_HLA-DRA,HLA-DRA_HLA-DRB1,BLVRB_HLA-DMB
FCRLA_HLA-DOB,NKG7_RPLP0,C12orf75_PRF1,KIAA0125_MS4A1
CYBA_TSPAN13,HLA-DQA1_PKIG,CD14_ISG20,AIF1_EAF2
B2M_HLA-A,S100A4_TCL1A,APMAP_KIAA0125,LY86_TYROBP
BRI3_SPI1,BLK_RPL11,APMAP_HOPX,AIF1_SPI1
IRF8_SPIB,CD74_TCL1A,RPL13A_RPL3,S100A8_SPIB
GZMM_PTPRCAP,IL32_RPL11,RPL9_RPS20,CCL4_FGFBP2
LAG3_S100A8,B2M_BRI3,GSTP1_SERPINA1,EAF2_FCER1G
HLA-DMB_TYROBP,MALAT1_NCF2,RPL13A_RPS15A,GRN_SERPINA1
CD79B_P2RX5,CCL5_FCER1G,CCR7_CD2,AIF1_FCER1G
RPS25_RPS28,BRI3_CDA,SAMD3_VPREB3,LGALS2_S100A9
NKG7_RPL13,PRF1_RPL9,RPS14_TPT1,RPL23A_RPSA
CD79A_IRF8,HLA-DRA_TCL1A,MATK_PNOC,CD79A_PNOC
CD40_S100A8,RPL13A_RPL9,FCN1_LGALS2,KIAA0125_S100A8
LTB_PFN1,RPL32_RPS5,RPL9_RPS25,CCL5_NKG7
CD68_CFD,CEBPD_GZMK,BLK_FCER2,BLVRB_GRN
B2M_GSTP1,RPS6_TYROBP,S100A9_SH2D1A,MS4A1_VPREB3
HLA-DQA1_SPI1,RPL23A_RPS18,BANK1_HVCN1,RPL3_RPL32
MATK_P2RX5,HLA-DMB_S100A9,CD40_SPIB,RPS12_RPS14
RPS12_SNX2,RPLP2_TCL1A,CD14_HLA-DRB1,FCER1G_FCN1
HLA-DPA1_IL7R,RPS25_RPS27,LGALS2_S100A9,BLVRB_FCN1
CCL5_HLA-DPB1,HLA-C_RPL36,CEBPD_LY86,EAF2_SPIB
COTL1_TSPO,GZMH_RPLP0,NCR3_SPIB,FGFBP2_HLA-DPA1
MS4A6A_S100A8,CD99_FTH1,BLVRB_CDA,FCN1_S100A8
CFP_VPREB3,ISG20_RPLP0,RPL35A_RPS14,FCRLA_MARCH1
CST7_GZMA,PRF1_RPL31,CD40_CYB561A3,CFD_FTL
