GENIE3_links,PIDC_links,GRNBOOST2_links,phase_synchrony_links
ARPC1B_TREML1,FCER1A_MFSD1,CA2_GP9,PPBP_TMEM40
GP1BA_PTGS1,HLA-DOB_PLD4,CA2_LY6G6F,AC147651.3_C2orf88
KIAA0125_MMD,FCRLA_MZB1,C2orf88_CLEC1B,ALDH2_PHACTR1
ADAM28_CMTM5,MS4A1_MZB1,GP1BA_TUBB1,CLDN5_CLEC1B
CLDN5_CLEC1B,HVCN1_PPBP,CA2_ENHO,F13A1_TUBB1
BLNK_GAS2L1,MZB1_P2RX5,MAP3K7CL_TMEM40,PF4_TCL1A
ADAM28_F13A1,PRR5_SNCA,PF4_PPBP,ALDH2_IFI30
FOLR3_PTCRA,CLU_ITGA2B,GIMAP7_PKIG,TCL1A_TMEM40
CTSS_FGL2,CLEC10A_SPARC,ALDH2_ENHO,CD79A_PF4
CLU_ITGA2B,ENHO_GP9,IGLL5_PF4,CLEC10A_IFI30
CD37_FCRLA,CDA_TNFSF13B,ACRBP_BLNK,FPR1_IL1B
GSTP1_LINC00926,PF4_S1PR5,FOLR3_SPIB,CMTM5_LY6G6F
C5AR1_PTGS1,PLBD1_TNFSF13B,CA2_ITGA2B,AP001189.4_CD79A
CLU_TMEM40,LINC00926_MZB1,SWAP70_TUBB1,AP001189.4_GP9
MMD_PTCRA,PTGDR_TREML1,APOBEC3A_SEPT5,IGSF6_PTGS1
FOLR3_TUBB1,NCOA4_PKIG,BLNK_GAS2L1,AC147651.3_PTCRA
RGS18_TUBB1,NCOA4_SERPINF1,CLEC1B_FOLR3,CLDN5_TUBB1
HLA-DQA1_SDPR,PLEKHF1_SERPINF1,MS4A6A_TUBB1,ALDH2_FPR1
CTSW_GNG11,PKIG_PLEKHF1,ADAM28_PTGS1,PKIG_SPARC
AP001189.4_ARHGAP24,FCGRT_SMCO4,MMD_PTCRA,CLEC10A_PHACTR1
CA2_IFI30,IFI30_PHACTR1,APOBEC3A_PHACTR1,FPR1_LGALS2
CCL5_NRGN,HLA-DMB_IL1B,CD247_IGSF6,C2orf88_CLEC1B
GNG11_LY6G6F,PNOC_TPM1,ARHGAP24_SERPINF1,SPARC_TCL1A
PKIG_SWAP70,CD79A_PLEKHF1,CD9_LY6G6F,CA2_PLBD1
FCER1A_ITGA2B,CD1C_TREML1,CLEC10A_ITGA2B,IL1B_MAFB
LY6G6F_SEPT5,C9orf142_FERMT3,FCER1A_SPARC,IGSF6_PLBD1
LGALS2_PTGS1,PRR5_TUBB1,MAP3K7CL_SERPINF1,GAS2L1_PTCRA
MMD_TUBB1,HLA-DOB_TREML1,FCRLA_PF4,PTCRA_TUBB1
ARPC1B_SWAP70,C2orf88_SNX29P2,ARHGAP24_PPBP,LGALS2_PHACTR1
MAL_SPIB,AP001189.4_PLEKHF1,NRGN_PTGS1,LGALS2_MS4A6A
CA2_GP9,C2orf88_TPM1,LINC00926_PF4,IFI30_LGALS2
GIMAP7_TREML1,SPARC_TREML1,ENHO_PHACTR1,PKIG_TMEM40
PF4_PPBP,GZMB_PTPRCAP,PPBP_SERPINF1,PF4_PKIG
MAP3K7CL_TMEM40,ODC1_PNOC,JAKMIP1_SPIB,AC147651.3_CLDN5
P2RX5_PF4,CCL4_PRF1,BLVRA_CA2,GP1BA_SEPT5
NCF2_SEPT5,F13A1_IL1B,C2orf88_GAS2L1,MS4A6A_PTGS1
ALDH2_SEPT5,IL1B_PTGS1,LINC00926_SERPINF1,PLBD1_PTGS1
CD247_IGSF6,IL1B_LGALS2,MS4A6A_PTGS1,ENHO_IGSF6
CD9_FPR1,CD72_TTC38,ENHO_IFI30,SEPT5_TMEM40
JAKMIP1_TUBB1,HLA-DMB_LGALS2,IL1B_TUBB1,ALDH2_CA2
CD9_LY6G6F,F13A1_HLA-DMB,ENHO_LY6G6F,MAFB_PHACTR1
GAS2L1_PTCRA,HLA-DMB_PTGS1,ALDH2_SPARC,ALDH2_APOBEC3A
LAMTOR1_S100A12,MZB1_TCL1A,FPR1_LY6G6F,IFI30_MAFB
ALDH2_LY6G6F,GSN_SAMD3,CLU_SPARC,CA2_PTGS1
PKIG_PNOC,CDA_PLBD1,ASGR1_SEPT5,CLDN5_GAS2L1
CTSW_HIST1H2AC,FCGR3A_SPON2,FPR1_PHACTR1,SEPT5_SPARC
SERPINF1_TMEM40,CD72_HVCN1,LDLRAP1_PTCRA,CA2_SERPINF1
AQP3_RP11-367G6.3,FCER1G_NKG7,FCRLA_PPBP,APOBEC3A_MAFB
FCER1A_SPARC,ARHGAP24_MS4A1,BLNK_PF4,PF4_SPARC
F13A1_TUBB1,ARHGAP24_HVCN1,IL1B_PTGS1,APOBEC3A_PLBD1
NRGN_PTGS1,GNLY_HOPX,LY6G6F_TMEM40,CA2_MAFB
P2RX5_PPBP,MZB1_TTC38,AP001189.4_SPARC,APOBEC3A_ENHO
GNG11_PHACTR1,CLEC10A_PLD4,CLEC1B_FCGR2B,FPR1_MAFB
CLEC1B_FCGR2B,ACRBP_CD160,ADAM28_GP1BA,ITGA2B_PPBP
CLEC1B_SPIB,F13A1_PTGS1,APOBEC3A_FPR1,FCRLA_PPBP
GZMK_SMCO4,FCRLA_PF4,CD9_PHACTR1,CLU_PPBP
HINT1_TREML1,FGFBP2_SPON2,CA2_CLU,ARHGAP24_CLU
C9orf142_PLD4,CLEC1B_KLRG1,C5AR1_F13A1,CD19_PF4
CD247_SDPR,CLEC10A_TREML1,ENHO_SERPINF1,ARHGAP24_ITGA2B
MAFB_SEPT5,LDLRAP1_TSC22D1,FOLR3_PTCRA,ARHGAP24_FCRLA
LINC00926_PPBP,GP1BA_MS4A6A,ARHGAP24_SPARC,PF4_TMEM40
CLU_GP9,CST7_PRF1,LDLRAP1_SPIB,CLU_TCL1A
LAMTOR1_MYL9,F13A1_LGALS2,LGALS2_TUBB1,ALDH2_IGSF6
PTGS1_TUBB1,LGALS2_PTGS1,C5AR1_CMTM5,FOLR3_SWAP70
APOBEC3A_SEPT5,CMTM5_HLA-DMB,CLDN5_FOLR3,PTGS1_RGS18
SWAP70_TREML1,FCGR3A_NKG7,HINT1_PKIG,FCRLA_PKIG
GZMK_IFITM3,AIF1_ASGR1,GZMA_IGSF6,APOBEC3A_IGSF6
CYBA_GNG11,C2orf88_PNOC,C5AR1_FPR1,ITGA2B_TCL1A
CA2_LY6G6F,IRF8_PRR5,C2orf88_SERPINF1,LINC00926_TCL1A
AP001189.4_PPBP,PF4_PPBP,F13A1_GP1BA,BLNK_PF4
CA2_PHACTR1,CMTM5_LGALS2,AP001189.4_CLU,BLNK_PNOC
PPBP_SERPINF1,IGSF6_NCF2,ALDH2_CLU,APOBEC3A_MS4A6A
IGLL5_PF4,IGSF6_SEPT5,MMD_SPIB,FCGR2B_SWAP70
APOBEC3A_FPR1,NCOA4_PLEKHF1,AP001189.4_TMEM40,CLEC10A_PLD4
ALDH2_FPR1,MAP3K7CL_MFSD1,HLA-DMB_TUBB1,KIAA0125_PKIG
IL1B_PTGS1,PLEKHF1_TCL1A,ACRBP_FCGR2B,PLD4_SERPINF1
IL1B_MAFB,ADAM28_HAVCR2,CLEC1B_SPIB,IFI30_IL1B
ALDH2_IFI30,P2RX5_S1PR5,PNOC_PTCRA,IL1B_PHACTR1
APOBEC3A_PHACTR1,LINC00936_TNFRSF1B,CD79A_PPBP,CLEC10A_FPR1
BLNK_CLEC1B,GAS2L1_PLA2G12A,ADAM28_F13A1,GAS2L1_MAL
ITGA2B_TMEM40,CST7_FCGR3A,GP9_PF4,CA2_LGALS2
GPR56_MPP1,HLA-DQB1_LINC00936,AC147651.3_C2orf88,APOBEC3A_IL1B
MS4A6A_PTGS1,FOLR3_S100A8,SPIB_TUBB1,FCRLA_TCL1A
ARPC1B_PKIG,PARVB_TREML1,AC147651.3_CD19,CA2_PLD4
CLEC10A_TMEM40,AIF1_CST3,APOBEC3A_LY6G6F,ENHO_MAFB
IGSF6_PHACTR1,ALDH2_CD9,AP001189.4_PF4,AC147651.3_MAL
IFI30_SEPT5,FCRLA_MYL9,PLBD1_PTGS1,ENHO_PLBD1
LINC00926_PF4,MAP3K7CL_PLD4,GNG11_GP9,GP9_PPBP
ASGR1_SEPT5,AC147651.3_AQP3,ARPC1B_PKIG,CLU_PKIG
GIMAP7_PNOC,AC147651.3_CLEC1B,CD19_CLEC1B,ARHGAP24_GP9
AC147651.3_CD19,GZMB_SPON2,SERPINF1_SPARC,ITGA2B_PKIG
FPR1_LY6G6F,CLEC1B_KLRC1,BLVRA_IFI30,F13A1_GP9
CLEC10A_ITGA2B,GNG11_SDPR,MMD_TUBB1,CLEC1B_MAL
AC147651.3_BLNK,CMTM5_IL1B,CD1C_SPARC,IL1B_LGALS2
CD247_MPP1,PKIG_TREML1,MYL9_PF4,GP1BA_LY6G6F
CD37_FCER1A,TPM4_TREML1,F13A1_FPR1,IGSF6_LGALS2
GNG11_IFI30,FCRLA_RP11-367G6.3,PKIG_PNOC,MAFB_PTGS1
CMTM5_TUBB1,BLVRA_CEBPB,CD19_PPBP,CD79A_SPARC
CD247_FCGR3A,CD2_S100A12,FCER1A_ITGA2B,LINC00926_SPARC
HLA-DRB1_JAKMIP1,BLNK_C2orf88,BLVRA_ENHO,FCRLA_PF4
CLEC10A_SPARC,C2orf88_CD19,CMTM5_SEPT5,ENHO_PTGS1
HLA-DMA_S100A12,GZMK_KLRC1,MFSD1_TMEM40,CD19_PNOC
CD247_P2RX5,CD79A_PKIG,GP9_TMEM40,ENHO_PLD4
ACRBP_PNOC,CD160_HIST1H2AC,PARVB_SPARC,ALDH2_ENHO
FGFBP2_GZMH,FCGR3A_GZMB,HINT1_PNOC,GP9_TCL1A
FCRLA_PF4,AIF1_SMCO4,P2RX5_PPBP,SPARC_TREML1
CLU_SPARC,HLA-DQB1_TNFRSF1B,P2RX5_PF4,CLEC10A_IGSF6
CST7_MMD,C2orf88_KIAA0125,CD1C_ITGA2B,SPIB_SWAP70
C9orf142_PKIG,CD1C_MAP3K7CL,SNCA_SPIB,PKIG_PNOC
AP001189.4_CLEC10A,FCRLA_IGLL5,BLVRA_TMEM40,CD79A_PKIG
ADAM28_PTGS1,GZMK_PLA2G12A,CA2_PHACTR1,AP001189.4_FCRLA
GIMAP7_PKIG,MS4A6A_PRR5,MPP1_PHACTR1,ALDH2_PTGS1
GIMAP7_SWAP70,AQP3_GIMAP5,PHACTR1_SEPT5,PHACTR1_SERPINF1
ASGR1_HLA-DOB,CLU_MFSD1,FCER1A_GP9,LINC00926_TMEM40
SERPINF1_SPARC,IRF8_MS4A6A,PKIG_SPARC,CA2_IL1B
CCL5_MPP1,CLEC1B_GAS2L1,MZB1_SERPINF1,APOBEC3A_LGALS2
CD9_SEPT5,CMTM5_F13A1,FPR1_IFI30,TMEM40_TREML1
MZB1_PPBP,CMTM5_PTGS1,C5AR1_SEPT5,IFI30_SERPINF1
PNOC_TREML1,HLA-DPB1_TNFSF13B,IGSF6_PHACTR1,CD79A_TMEM40
ARPC5L_SMCO4,PRF1_PTPRCAP,CLEC10A_ENHO,KIAA0125_TREML1
APOBEC3A_LY6G6F,CD72_LINC00926,HLA-DMB_SEPT5,CD79A_LINC00926
GNLY_HOPX,CLU_H2AFY,ASGR1_IFI30,CD9_JAKMIP1
CD79B_SMCO4,AC147651.3_GAS2L1,CDA_FPR1,ITGA2B_TREML1
PRSS23_S100A12,CD79A_SERPINF1,F13A1_SEPT5,ITGA2B_PF4
GNG11_GP9,GAS2L1_KLRG1,FGFBP2_GZMK,MAFB_NCF2
C5AR1_SDPR,NCF2_SEPT5,PTCRA_TUBB1,F13A1_ITGA2B
HOPX_MYL9,ACRBP_PLA2G12A,C5AR1_GP1BA,CLU_F13A1
IGSF6_LY6G6F,C2orf88_IGLL5,AP001189.4_ITGA2B,GP9_PKIG
AC147651.3_CLDN5,AKR1C3_GYG1,CLDN5_GAS2L1,CMTM5_GP9
CYBA_SNX29P2,HVCN1_MZB1,EAF2_PTGS1,CD79A_TCL1A
CCL3_CCL4,CD72_TCL1A,NCF2_PHACTR1,LINC00926_PKIG
FCGR3A_IRF8,PLD4_TREML1,CA2_SERPINF1,XCL1_XCL2
CST3_LINC00936,AQP3_CLEC1B,PF4_SERPINF1,FPR1_MS4A6A
PHACTR1_SEPT5,AC147651.3_KLRG1,GAS2L1_PTCRA,ARHGAP24_CD19
HLA-DQA1_IFI30,AP001189.4_CD79A,PDIA3_PKIG,AP001189.4_LY6G6F
ARPC5L_PGRMC1,HLA-DPB1_PLBD1,ASGR1_PHACTR1,PNOC_SWAP70
LST1_PARVB,CD160_GAS2L1,APOBEC3A_IFI30,CLU_PF4
LINC00926_SERPINF1,CLEC10A_MAP3K7CL,CLEC10A_SERPINF1,CD79A_ITGA2B
FGL2_TCL1A,PLD4_TMEM40,CLDN5_CLEC1B,CD79A_CLU
JAKMIP1_LDLRAP1,MS4A1_PPBP,ALDH2_TMEM40,CLU_TREML1
FPR1_PLBD1,FERMT3_MS4A1,CLDN5_TUBB1,IL1B_MS4A6A
CD2_MMD,HIST1H2AC_PLA2G12A,MAFB_SEPT5,CD19_PPBP
CD2_IGLL5,CD160_PLA2G12A,GIMAP7_PNOC,LGALS2_PLBD1
AC147651.3_SPIB,CLEC10A_TMEM40,GAS2L1_SPIB,CD79A_GP9
GZMB_NKG7,PTGDR_TPM4,FCGRT_SEPT5,ALDH2_LGALS2
MAFB_PHACTR1,MYL9_PPBP,EAF2_FOLR3,IGSF6_IL1B
GIMAP5_LGALS2,CDA_HLA-DPB1,CD79A_SERPINF1,PNOC_TREML1
GNG11_HLA-DQB1,COTL1_GYG1,CLEC10A_GP9,GNG11_RP11-367G6.3
AP001189.4_PF4,CD72_CD79A,MPP1_TMEM40,IL1B_NCF2
FCRLA_PPBP,P2RX5_SNX29P2,BLNK_CLEC1B,CLDN5_GP1BA
CCL3_MAP3K7CL,CLEC1B_PLA2G12A,CA2_TMEM40,ARHGAP24_TREML1
PRSS23_SNCA,GAS2L1_GZMK,KLRG1_SPIB,FCER1A_PLD4
GRN_HLA-DQB1,COTL1_ENHO,MAP3K7CL_PPBP,GP9_TREML1
HIST1H2AC_MAP3K7CL,PPBP_RP11-367G6.3,GP9_IFI30,PPBP_TREML1
KIAA0125_PNOC,C2orf88_ODC1,IGSF6_LY6G6F,AP001189.4_TREML1
FCN1_FCRLA,AQP3_KLRG1,MPP1_SERPINF1,AIF1_PTGS1
GZMK_LTB,CD1C_TMEM40,GP9_PHACTR1,PHACTR1_PLD4
SWAP70_TUBB1,C2orf88_MYL9,ADAM28_TUBB1,ALDH2_MAFB
ALDH2_APOBEC3A,GAS2L1_KLRC1,ASGR1_PTGS1,ALDH2_PLBD1
NPC2_NRGN,SERPINF1_TCL1A,GSTP1_MS4A6A,MS4A6A_RGS18
FCRL6_IRF8,ARHGAP24_TTC38,SERPINF1_TMEM40,IFI30_PLD4
GIMAP7_S100A12,AIF1_FCGRT,ASGR1_F13A1,SEPT5_TUBB1
GP9_TMEM40,JAKMIP1_SWAP70,HLA-DOB_TMEM40,IL1B_PLBD1
S1PR5_SDPR,AC147651.3_GIMAP5,LY6G6F_SPARC,ENHO_LGALS2
NCF2_PHACTR1,CD2_KLRB1,CD1C_TMEM40,IGSF6_MAFB
BLNK_PF4,MARCH2_MFSD1,CMTM5_FPR1,CLEC10A_FCER1A
FCGR3A_FCGRT,MFSD1_TMEM40,FCGRT_FPR1,ARHGAP24_BLNK
CCL4_TCL1A,CLEC1B_GIMAP5,LINC00926_TMEM40,GP1BA_PTCRA
IGLL5_MYL9,MAP3K7CL_SPARC,HLA-DQA1_SEPT5,TCL1A_TREML1
LTB_MS4A1,IGLL5_PPBP,GNG11_ITGA2B,BLNK_PPBP
CD37_CD79A,C9orf142_CD79A,CLU_SERPINF1,CD1C_CLEC10A
GZMB_SNCA,AC147651.3_ACRBP,C2orf88_PPBP,CLEC10A_MAFB
C2orf88_PF4,LINC00926_TCL1A,CD1C_CLEC10A,P2RX5_PF4
C2orf88_GAS2L1,CD2_TSC22D1,ASGR1_FPR1,P2RX5_PPBP
CD9_LDLRAP1,C2orf88_RP11-367G6.3,LY6G6F_PPBP,CD1C_SERPINF1
APOBEC3A_CA2,AC147651.3_CD160,FCER1A_SERPINF1,GP9_PF4
CD1C_PGRMC1,CD1C_TPM4,AP001189.4_CLEC10A,LGALS2_RGS18
CD1C_ITGA2B,SPARC_TMEM40,ARHGAP24_ENHO,AIF1_FPR1
ASGR1_FPR1,CD2_LDLRAP1,CLEC10A_PPBP,ARHGAP24_P2RX5
CYBA_IRF8,HLA-DMA_LGALS3,ADAM28_SEPT5,FPR1_NCF2
GRN_HLA-DMB,PPBP_TTC38,CLU_PPBP,FOLR3_PTGS1
MYL9_PF4,JAKMIP1_MMD,PKIG_TMEM40,CLU_CMTM5
HLA-DRB1_SMCO4,HVCN1_SNX29P2,MFSD1_SPARC,IL1B_RGS18
CD72_GNG11,AC147651.3_PLA2G12A,GZMK_XCL1,NCF2_PTGS1
CLEC10A_CLU,S100A12_TSC22D1,ITGA2B_PPBP,ACRBP_PTCRA
FPR1_IGSF6,GP1BA_IRF8,BLVRA_SEPT5,CMTM5_ITGA2B
GZMB_SPON2,MMD_SWAP70,CDA_CMTM5,FPR1_SERPINF1
CLIC3_TNFRSF1B,CD2_MAL,CMTM5_TUBB1,ALDH2_EAF2
ENHO_SPARC,CD79A_MZB1,FGL2_TCL1A,CD19_KIAA0125
AC147651.3_C2orf88,CCL5_GIMAP7,HLA-DMA_SEPT5,CD19_LINC00926
F13A1_FPR1,CLEC10A_MFSD1,APOBEC3A_GP9,C5AR1_FCGRT
CD79A_SERPINF1,FCGRT_LST1,C9orf142_LINC00926,APOBEC3A_CLEC10A
PKIG_PPBP,MAP3K7CL_PARVB,CLEC1B_PTCRA,IGLL5_TCL1A
AC147651.3_PTCRA,ACRBP_GZMK,ALDH2_ITGA2B,FCRLA_TREML1
C2orf88_CLEC1B,ACRBP_GAS2L1,AC147651.3_FCGR2B,AIF1_MS4A6A
H2AFY_PARVB,FGL2_GPX1,ALDH2_CA2,LGALS2_MAFB
FPR1_PHACTR1,AQP3_GAS2L1,LAT2_PTCRA,FCN1_RGS18
CD160_HLA-DQB1,AQP3_CD160,NKG7_PRF1,BLNK_KIAA0125
GAS2L1_SPIB,BLVRA_IFI30,ASGR1_LY6G6F,ACRBP_CLDN5
ADAM28_GP1BA,BLVRA_PHACTR1,HLA-DOB_SPARC,CLU_LINC00926
